40,0.698131701,1.035,0.92,1.035,0.983144724,,
45,0.785398163,1.05,1.075,1.05,1.139988268,,
50,0.872664626,1.02,1.215,1.02,1.276327705,,
55,0.959931089,0.955,1.345,0.955,1.398760477,,
60,1.047197551,0.875,1.47,0.875,1.515130742,,
65,1.134464014,0.76,1.575,0.76,1.609047369,,
70,1.221730476,0.63,1.665,0.63,1.688395777,,
75,1.308996939,0.5,1.735,0.5,1.749736569,,
80,1.396263402,0.365,1.78,0.365,1.787853118,,
85,1.483529864,0.23,1.8,0.23,1.803118258,,
90,1.570796327,0.09,1.8,0.09,1.800477465,,
95,1.658062789,-0.05,1.78,-0.05,1.780147366,,
100,1.745329252,-0.185,1.75,-0.185,1.752017436,,
105,1.832595715,-0.32,1.7,-0.32,1.706036099,,
110,1.919862177,-0.45,1.635,-0.45,1.646936621,,
115,2.00712864,-0.57,1.555,-0.57,1.574151645,,
120,2.094395102,-0.67,1.465,-0.67,1.491460983,,
125,2.181661565,-0.76,1.35,-0.76,1.384047369,,
130,2.268928028,-0.85,1.225,-0.85,1.267588684,,
135,2.35619449,-0.93,1.085,-0.93,1.135982633,,
140,2.443460953,-0.98,0.925,-0.98,0.981612003,,
145,2.530727415,-0.9,0.755,-0.9,0.802746483,,
150,2.617993878,-0.77,0.575,-0.77,0.609949247,,
155,2.705260341,-0.67,0.42,-0.67,0.446460983,,
160,2.792526803,-0.635,0.32,-0.635,0.343768612,,
165,2.879793266,-0.68,0.23,-0.68,0.257256758,,
170,2.967059728,-0.85,0.14,-0.85,0.182588684,,
175,3.054326191,-0.66,0.055,-0.66,0.080676997,,
180,3.141592654,0,0.025,0,0.025,,
